,term,frq_pre,frq_post,diff
2,unseres,0.0022683738280068555,0.0010134229504338104,-0.0012549508775730452
11,eidgenossen,0.0011257855294552542,0.00021576101525364996,-0.0009100245142016042
10,eidgenossenschaft,0.0012097993749369896,0.00031383420400530904,-0.0008959651709316806
5,landes,0.0016634741405383608,0.0010199611630172544,-0.0006435129775211063
9,staat,0.001277010451322378,0.0006407448331775059,-0.0006362656181448721
38,unsern,0.000638505225661189,1.3076425166887877e-05,-0.0006254288004943011
23,probleme,0.0008905467621063951,0.00026806671592120146,-0.0006224800461851936
20,bund,0.0009073495312027422,0.0002876813536715333,-0.0006196681775312089
13,volk,0.0011089827603589072,0.0004969041563417393,-0.0006120786040171679
34,aufgaben,0.000655307994757536,0.00010461140133510301,-0.000550696593422433
18,gemeinschaft,0.0009241523002990893,0.00037921632983974843,-0.0005449359704593409
54,schweizervolk,0.0005376886110831065,1.9614637750331815e-05,-0.0005180739733327746
26,willen,0.0007897301475283127,0.0002746049285046454,-0.0005151252190236672
36,schweizerischen,0.000638505225661189,0.00012422603908543483,-0.0005142791865757542
51,innern,0.0005376886110831065,3.922927550066363e-05,-0.0004984593355824428
53,vaterland,0.0005376886110831065,3.922927550066363e-05,-0.0004984593355824428
27,kraft,0.0007897301475283127,0.00029421956625497723,-0.0004955105812733355
42,abend,0.0006048996874684948,0.00011768782650199088,-0.0004872118609665039
24,frieden,0.0008401384548173538,0.0003661399046728605,-0.0004739985501444933
39,geist,0.0006217024565648418,0.00016345531458609845,-0.0004582471419787434
56,sinn,0.0005208858419867594,8.499676358477119e-05,-0.0004358890784019882
37,wirtschaftlichen,0.000638505225661189,0.00020268459008676207,-0.0004358206355744269
45,aufgabe,0.0005880969183721477,0.00017653173975298633,-0.00041156517861916137
4,zukunft,0.001730685216923749,0.0013207189418556755,-0.00040996627506807346
78,bundes,0.0004536747656013711,4.5767488084107565e-05,-0.0004079072775172635
91,gerechtigkeit,0.0004200692274086769,1.3076425166887877e-05,-0.00040699280224178907
49,volkes,0.0005544913801794536,0.00015037888941921057,-0.0004041124907602431
21,solidarität,0.0008905467621063951,0.0004969041563417393,-0.0003936426057646558
8,august,0.0015794602950566254,0.0011899546901867968,-0.00038950560486982855
44,neutralität,0.0006048996874684948,0.00021576101525364996,-0.0003891386722148448
79,lande,0.0004536747656013711,6.538212583443938e-05,-0.0003882926397669317
86,völker,0.00043687199650502403,5.884391325099544e-05,-0.0003780280832540286
73,schwierigkeiten,0.0004536747656013711,9.153497616821513e-05,-0.0003621397894331559
61,gefahr,0.0005040830728904124,0.00014384067683576664,-0.0003602423960546457
59,krieg,0.0005208858419867594,0.00016345531458609845,-0.00035743052740066096
97,erfüllen,0.0004200692274086769,6.538212583443938e-05,-0.00035468710157423753
94,kräfte,0.0004200692274086769,6.538212583443938e-05,-0.00035468710157423753
55,männer,0.0005376886110831065,0.00018306995233643026,-0.0003546186587466762
111,stunde,0.0003696609201196357,1.9614637750331815e-05,-0.0003500462823693039
118,erhaltung,0.00035285815102328866,6.538212583443938e-06,-0.0003463199384398447
113,besinnung,0.00035285815102328866,6.538212583443938e-06,-0.0003463199384398447
120,verpflichtung,0.00035285815102328866,2.6152850333775754e-05,-0.0003267053006895129
83,aussen,0.00043687199650502403,0.00011114961391854694,-0.0003257223825864771
62,pflicht,0.0005040830728904124,0.00018306995233643026,-0.0003210131205539821
60,sozialen,0.0005040830728904124,0.00018306995233643026,-0.0003210131205539821
114,eidgenössischen,0.00035285815102328866,3.922927550066363e-05,-0.00031362887552262503
137,friede,0.00033605538192694155,2.6152850333775754e-05,-0.0003099025315931658
50,vergangenheit,0.0005376886110831065,0.00022883744042053784,-0.0003088511706625686
105,schweizerische,0.0003864636892159828,7.845855100132726e-05,-0.00030800513821465557
3,freiheit,0.0020499378297543433,0.0017457027597795314,-0.0003042350699748119
22,politischen,0.0008905467621063951,0.0005884391325099545,-0.00030210762959644066
40,mitbürger,0.0006048996874684948,0.0003072959914218651,-0.0002976036960466297
32,erhalten,0.0007057163020465773,0.0004119073927569681,-0.0002938089092896092
155,treue,0.0003192526128305945,2.6152850333775754e-05,-0.00029309976249681873
166,opfer,0.0003024498437342474,1.3076425166887877e-05,-0.00028937341856735953
